,date,ADMIN0,ADMIN1,ADMIN2,CS
3072,2014-07-01,Ethiopia,Somali,Nogob,2.0
4039,2014-07-01,Ethiopia,Somali,Dollo,2.0
2366,2014-07-01,Ethiopia,SNNPR,Sheka,1.0
2368,2014-07-01,Ethiopia,SNNPR,Sidama,1.0
4000,2014-07-01,Ethiopia,Somali,Afder,2.0
2369,2014-07-01,Ethiopia,SNNPR,Alaba,1.0
2370,2014-07-01,Ethiopia,Oromia,Arsi,1.0
2372,2014-07-01,Ethiopia,SNNPR,Basketo,1.0
2373,2014-07-01,Ethiopia,SNNPR,Bench Maji,1.0
4955,2014-07-01,Ethiopia,Tigray,Central Tigray,3.0
2375,2014-07-01,Ethiopia,SNNPR,Dawro,1.0
4004,2014-07-01,Ethiopia,Dire Dawa,Dire Dawa,2.0
2376,2014-07-01,Ethiopia,Amhara,East Gojam,1.0
2377,2014-07-01,Ethiopia,Oromia,East Shewa,1.0
2379,2014-07-01,Ethiopia,SNNPR,Gamo Gofa,1.0
2382,2014-07-01,Ethiopia,SNNPR,Gurage,1.0
2383,2014-07-01,Ethiopia,Oromia,Horo Guduru,1.0
2385,2014-07-01,Ethiopia,Oromia,Jimma,1.0
2386,2014-07-01,Ethiopia,SNNPR,Kembata Tembaro,1.0
2387,2014-07-01,Ethiopia,SNNPR,Keffa,1.0
2389,2014-07-01,Ethiopia,SNNPR,Konta,1.0
2390,2014-07-01,Ethiopia,Gambela,Mezhenger,1.0
2391,2014-07-01,Ethiopia,Amhara,North Shewa,1.0
3054,2014-07-01,Ethiopia,Amhara,Oromia,2.0
2393,2014-07-01,Ethiopia,Amhara,South Gondar,1.0
3057,2014-07-01,Ethiopia,SNNPR,South Omo,2.0
3058,2014-07-01,Ethiopia,Amhara,South Wollo,2.0
3060,2014-07-01,Ethiopia,Amhara,Argoba,2.0
4964,2014-07-01,Ethiopia,Amhara,Wag Himra,3.0
4022,2014-07-01,Ethiopia,Oromia,West Arsi,2.0
2399,2014-07-01,Ethiopia,Oromia,West Shewa,1.0
2401,2014-07-01,Ethiopia,Tigray,West Tigray,1.0
2402,2014-07-01,Ethiopia,SNNPR,Wolayita,1.0
2403,2014-07-01,Ethiopia,SNNPR,Yem,1.0
4026,2014-07-01,Ethiopia,Afar,Gabi,2.0
4028,2014-07-01,Ethiopia,Afar,Khari,2.0
2405,2014-07-01,Ethiopia,Tigray,Northwest Tigray,1.0
2410,2014-07-01,Ethiopia,Benshangul Gumuz,Asosa,1.0
2414,2014-07-01,Ethiopia,Oromia,South West Shewa,1.0
2416,2014-07-01,Ethiopia,SNNPR,Hadiya,1.0
2417,2014-07-01,Ethiopia,SNNPR,Silltie,1.0
4009,2014-07-01,Ethiopia,Harari,Harari,2.0
2415,2014-07-01,Ethiopia,Amhara,North Gondar,1.0
2397,2014-07-01,Ethiopia,Amhara,West Gojam,1.0
2371,2014-07-01,Ethiopia,Amhara,Awi,1.0
2408,2014-07-01,Ethiopia,Benshangul Gumuz,Pawe,1.0
6971,2014-07-01,Ethiopia,Addis Ababa,Region 14,99.0
223,2010-01-01,Ethiopia,SNNPR,Segen,3.0
224,2010-01-01,Ethiopia,Oromia,Bale,3.0
225,2010-01-01,Ethiopia,Oromia,Borena,3.0
230,2010-01-01,Ethiopia,Somali,Jarar,3.0
6125,2010-01-01,Ethiopia,Oromia,East Wellega,1.0
120,2010-01-01,Ethiopia,SNNPR,Gedeo,2.0
232,2010-01-01,Ethiopia,Oromia,Gujii,3.0
6131,2010-01-01,Ethiopia,Oromia,Ilubabor,1.0
125,2010-01-01,Ethiopia,Somali,Fafan,2.0
6134,2010-01-01,Ethiopia,Oromia,Kelem,1.0
237,2010-01-01,Ethiopia,Somali,Korahe,3.0
238,2010-01-01,Ethiopia,Somali,Liben,3.0
130,2010-01-01,Ethiopia,Amhara,North Wollo,2.0
240,2010-01-01,Ethiopia,Gambela,Nuer,3.0
132,2010-01-01,Ethiopia,Somali,Sitti,2.0
136,2010-01-01,Ethiopia,Tigray,South Tigray,2.0
140,2010-01-01,Ethiopia,Oromia,West Hararge,2.0
6145,2010-01-01,Ethiopia,Oromia,West Wellega,1.0
248,2010-01-01,Ethiopia,Afar,Awusi,3.0
250,2010-01-01,Ethiopia,Afar,Fanti,3.0
252,2010-01-01,Ethiopia,Somali,Shebelle,3.0
