,date,CS,ADM0_EN,ADM1_EN,ADM2_EN
6920,2009-07-01,2.0,Ethiopia,SNNP,Mirab Omo
101,2009-07-01,4.0,Ethiopia,Somali,Nogob
6922,2009-07-01,2.0,Ethiopia,Amhara,North Shewa
4370,2009-07-01,3.0,Ethiopia,Amhara,North Wello
6925,2009-07-01,2.0,Ethiopia,Tigray,North Western
4373,2009-07-01,3.0,Ethiopia,Amhara,Oromia
103,2009-07-01,4.0,Ethiopia,Somali,Shabelle
6761,2009-07-01,1.0,Ethiopia,SNNP,Sheka
4375,2009-07-01,3.0,Ethiopia,SNNP,Sidama
4376,2009-07-01,3.0,Ethiopia,SNNP,Siltie
4377,2009-07-01,3.0,Ethiopia,Somali,Siti
6763,2009-07-01,1.0,Ethiopia,Amhara,South Gondar
4380,2009-07-01,3.0,Ethiopia,SNNP,South Omo
4381,2009-07-01,3.0,Ethiopia,Amhara,South Wello
6766,2009-07-01,1.0,Ethiopia,Oromia,South West Shewa
4383,2009-07-01,3.0,Ethiopia,Tigray,Southern
4384,2009-07-01,3.0,Ethiopia,Amhara,Wag Hamra
4385,2009-07-01,3.0,Ethiopia,Oromia,West Arsi
4386,2009-07-01,3.0,Ethiopia,Oromia,West Guji
4387,2009-07-01,3.0,Ethiopia,Oromia,West Hararge
6938,2009-07-01,2.0,Ethiopia,Oromia,West Shewa
6772,2009-07-01,1.0,Ethiopia,Oromia,West Wellega
6773,2009-07-01,1.0,Ethiopia,Tigray,Western
4390,2009-07-01,3.0,Ethiopia,SNNP,Wolayita
6774,2009-07-01,1.0,Ethiopia,SNNP,Yem Special
6942,2009-07-01,2.0,Ethiopia,Afar,Zone 1 (Awsi Rasu)
4393,2009-07-01,3.0,Ethiopia,Afar,Zone 2 (Kilbet Rasu)
6943,2009-07-01,2.0,Ethiopia,Afar,Zone 3 (Gabi Rasu)
4395,2009-07-01,3.0,Ethiopia,Afar,Zone 4 (Fantana Rasu)
4396,2009-07-01,3.0,Ethiopia,Afar,Zone 5 (Hari Rasu)
6926,2009-07-01,2.0,Ethiopia,Gambela,Nuwer
4365,2009-07-01,3.0,Ethiopia,Tigray,Mekele Special
115,2009-07-01,99.0,Ethiopia,Addis Ababa,Region 14
4378,2009-07-01,3.0,Ethiopia,Tigray,South Eastern
6768,2009-07-01,1.0,Ethiopia,Amhara,West Gojam
6731,2009-07-01,1.0,Ethiopia,Oromia,Buno Bedele
6732,2009-07-01,1.0,Ethiopia,Amhara,Central Gondar
4348,2009-07-01,3.0,Ethiopia,Tigray,Eastern
6902,2009-07-01,2.0,Ethiopia,Gambela,Etang Special woreda
6907,2009-07-01,2.0,Ethiopia,Harari,Harari
4368,2009-07-01,3.0,Ethiopia,Amhara,North Gondar
6896,2009-07-01,2.0,Ethiopia,Dire Dawa,Dire Dawa urban
6769,2009-07-01,1.0,Ethiopia,Amhara,West Gondar
6726,2009-07-01,1.0,Ethiopia,Amhara,Awi
6748,2009-07-01,1.0,Ethiopia,Oromia,Kelem Wellega
6754,2009-07-01,1.0,Ethiopia,Benishangul Gumz,Metekel
1773,2011-10-01,3.0,Ethiopia,Somali,Afder
6169,2011-10-01,1.0,Ethiopia,Gambela,Agnewak
1775,2011-10-01,3.0,Ethiopia,SNNP,Alle
1776,2011-10-01,3.0,Ethiopia,SNNP,Amaro
6170,2011-10-01,1.0,Ethiopia,Oromia,Arsi
6171,2011-10-01,1.0,Ethiopia,Benishangul Gumz,Asosa
199,2011-10-01,4.0,Ethiopia,Oromia,Bale
6363,2011-10-01,2.0,Ethiopia,SNNP,Basketo
6174,2011-10-01,1.0,Ethiopia,SNNP,Bench Maji
1780,2011-10-01,3.0,Ethiopia,Oromia,Borena
1781,2011-10-01,3.0,Ethiopia,SNNP,Burji
6364,2011-10-01,2.0,Ethiopia,Tigray,Central
201,2011-10-01,4.0,Ethiopia,Somali,Daawa
6177,2011-10-01,1.0,Ethiopia,SNNP,Dawuro
1783,2011-10-01,3.0,Ethiopia,SNNP,Derashe
6947,2011-10-01,99.0,Ethiopia,Dire Dawa,Dire Dawa rural
202,2011-10-01,4.0,Ethiopia,Somali,Doolo
6178,2011-10-01,1.0,Ethiopia,Amhara,East Gojam
6370,2011-10-01,2.0,Ethiopia,Oromia,East Hararge
6179,2011-10-01,1.0,Ethiopia,Oromia,East Shewa
6180,2011-10-01,1.0,Ethiopia,Oromia,East Wellega
204,2011-10-01,4.0,Ethiopia,Somali,Erer
6375,2011-10-01,2.0,Ethiopia,Somali,Fafan
6182,2011-10-01,1.0,Ethiopia,Oromia,Finfine Special
6377,2011-10-01,2.0,Ethiopia,SNNP,Gamo
6378,2011-10-01,2.0,Ethiopia,SNNP,Gedeo
6379,2011-10-01,2.0,Ethiopia,SNNP,Gofa
206,2011-10-01,4.0,Ethiopia,Oromia,Guji
6187,2011-10-01,1.0,Ethiopia,SNNP,Guraghe
6382,2011-10-01,2.0,Ethiopia,SNNP,Hadiya
6383,2011-10-01,2.0,Ethiopia,SNNP,Halaba Special
6189,2011-10-01,1.0,Ethiopia,Oromia,Horo Gudru Wellega
6190,2011-10-01,1.0,Ethiopia,Oromia,Ilu Aba Bora
1793,2011-10-01,3.0,Ethiopia,Somali,Jarar
6191,2011-10-01,1.0,Ethiopia,Oromia,Jimma
6192,2011-10-01,1.0,Ethiopia,SNNP,Kefa
6194,2011-10-01,1.0,Ethiopia,Benishangul Gumz,Kemashi
6388,2011-10-01,2.0,Ethiopia,SNNP,Kembata Tibaro
1796,2011-10-01,3.0,Ethiopia,SNNP,Konso
6195,2011-10-01,1.0,Ethiopia,SNNP,Konta Special
208,2011-10-01,4.0,Ethiopia,Somali,Korahe
1799,2011-10-01,3.0,Ethiopia,Somali,Liban
