,date,ADMIN1,Total,adjusted_population,CS_1,CS_2,CS_3,CS_4,CS_5,ML1_1,ML1_2,ML1_3,ML1_4,ML1_5,ML2_1,ML2_2,ML2_3,ML2_4,ML2_5,pop_CS,pop_ML1,pop_ML2
82,2011-04-01,Gambela,462832.0,372233.0,0.0,238002.0,134231.0,0.0,0.0,0.0,238002.0,134231.0,0.0,0.0,238002.0,0.0,134231.0,0.0,0.0,372233.0,372233.0,372233.0
83,2011-04-01,Harari,260022.0,209124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,2011-04-01,Oromia,31355106.0,25217506.0,7611435.0,12641523.0,4964548.0,0.0,0.0,7611435.0,12641523.0,4964548.0,0.0,0.0,7611435.0,5336404.0,12269667.0,0.0,0.0,25217506.0,25217506.0,25217506.0
85,2011-04-01,SNNPR,17075128.0,13732758.0,1614030.0,5948673.0,6170055.0,0.0,0.0,1614030.0,5948673.0,6170055.0,0.0,0.0,1614030.0,1513694.0,10605034.0,0.0,0.0,13732758.0,13732758.0,13732758.0
86,2011-04-01,Somali,5490380.0,4415663.0,0.0,0.0,2450514.0,1965149.0,0.0,0.0,0.0,2450514.0,1965149.0,0.0,0.0,0.0,2450514.0,1965149.0,0.0,4415663.0,4415663.0,4415663.0
87,2011-04-01,Tigray,4410666.0,3547299.0,354317.0,3192982.0,0.0,0.0,0.0,354317.0,3192982.0,0.0,0.0,0.0,354317.0,1831864.0,1361118.0,0.0,0.0,3547299.0,3547299.0,3547299.0
88,2011-07-01,Addis Ababa,3585647.0,2883776.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,2011-07-01,Afar,1904414.0,1531633.0,0.0,0.0,1531633.0,0.0,0.0,0.0,0.0,1531633.0,0.0,0.0,0.0,1531633.0,0.0,0.0,0.0,1531633.0,1531633.0,1531633.0
90,2011-07-01,Amhara,15442053.0,12419349.0,6269487.0,5734499.0,415363.0,0.0,0.0,6269487.0,5734499.0,415363.0,0.0,0.0,6269487.0,6149862.0,0.0,0.0,0.0,12419349.0,12419349.0,12419349.0
91,2011-07-01,Benshangul Gumuz,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,2011-07-01,Dire Dawa,508918.0,409299.0,0.0,409299.0,0.0,0.0,0.0,0.0,409299.0,0.0,0.0,0.0,0.0,409299.0,0.0,0.0,0.0,409299.0,409299.0,409299.0
93,2011-07-01,Gambela,462832.0,372233.0,0.0,238002.0,134231.0,0.0,0.0,0.0,238002.0,134231.0,0.0,0.0,65640.0,172362.0,134231.0,0.0,0.0,372233.0,372233.0,372233.0
94,2011-07-01,Harari,260022.0,209124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,2011-07-01,Oromia,31355106.0,25217506.0,7611435.0,5336404.0,10312922.0,1956745.0,0.0,7611435.0,5336404.0,10312922.0,1956745.0,0.0,7611435.0,17167356.0,438715.0,0.0,0.0,25217506.0,25217506.0,25217506.0
96,2011-07-01,SNNPR,17075128.0,13732758.0,1614030.0,2031579.0,10087149.0,0.0,0.0,1614030.0,2031579.0,10087149.0,0.0,0.0,1614030.0,11512212.0,606516.0,0.0,0.0,13732758.0,13732758.0,13732758.0
97,2011-07-01,Somali,5490380.0,4415663.0,0.0,0.0,2559802.0,1855861.0,0.0,0.0,0.0,2559802.0,1855861.0,0.0,0.0,1517565.0,2898098.0,0.0,0.0,4415663.0,4415663.0,4415663.0
98,2011-07-01,Tigray,4410666.0,3547299.0,354317.0,2587906.0,605076.0,0.0,0.0,354317.0,2587906.0,605076.0,0.0,0.0,354317.0,3192982.0,0.0,0.0,0.0,3547299.0,3547299.0,3547299.0
99,2011-10-01,Addis Ababa,3585647.0,2883776.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,2011-10-01,Afar,1904414.0,1531633.0,0.0,1134521.0,397112.0,0.0,0.0,0.0,1134521.0,397112.0,0.0,0.0,0.0,1134521.0,397112.0,0.0,0.0,1531633.0,1531633.0,1531633.0
101,2011-10-01,Amhara,15442053.0,12419349.0,8113717.0,4305632.0,0.0,0.0,0.0,8113717.0,4305632.0,0.0,0.0,0.0,8113717.0,2490594.0,1815038.0,0.0,0.0,12419349.0,12419349.0,12419349.0
102,2011-10-01,Benshangul Gumuz,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,2011-10-01,Dire Dawa,508918.0,409299.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,2011-10-01,Gambela,462832.0,372233.0,238002.0,134231.0,0.0,0.0,0.0,238002.0,134231.0,0.0,0.0,0.0,238002.0,0.0,134231.0,0.0,0.0,372233.0,372233.0,372233.0
105,2011-10-01,Harari,260022.0,209124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,2011-10-01,Oromia,31355106.0,25217506.0,18187099.0,5073662.0,438715.0,1518030.0,0.0,18187099.0,5073662.0,1956745.0,0.0,0.0,18187099.0,5073662.0,0.0,1956745.0,0.0,25217506.0,25217506.0,25217506.0
107,2011-10-01,SNNPR,17075128.0,13732758.0,3584879.0,9541363.0,606516.0,0.0,0.0,3584879.0,9541363.0,606516.0,0.0,0.0,3584879.0,4888107.0,4653256.0,606516.0,0.0,13732758.0,13732758.0,13732758.0
108,2011-10-01,Somali,5490380.0,4415663.0,0.0,1517565.0,1042237.0,1855861.0,0.0,0.0,1517565.0,2898098.0,0.0,0.0,0.0,1517565.0,1453927.0,1444171.0,0.0,4415663.0,4415663.0,4415663.0
109,2011-10-01,Tigray,4410666.0,3547299.0,354317.0,3192982.0,0.0,0.0,0.0,354317.0,3192982.0,0.0,0.0,0.0,354317.0,3192982.0,0.0,0.0,0.0,3547299.0,3547299.0,3547299.0
