,date,ADM1_EN,Total,adjusted_population,CS_1,CS_2,CS_3,CS_4,CS_5,ML1_1,ML1_2,ML1_3,ML1_4,ML1_5,ML2_1,ML2_2,ML2_3,ML2_4,ML2_5,total_pop
166,2013-04-01,Afar,1904414,1620769,0,0,1620769,0,0,0,653284,967485,0,0,0,653284,967485,0,0,1620769
167,2013-04-01,Amhara,21790172,18544752,13375897,0,5168855,0,0,13375897,0,5168855,0,0,12618473,0,5926279,0,0,18544752
168,2013-04-01,Benishangul Gumz,1102849,938589,938589,0,0,0,0,938589,0,0,0,0,938589,0,0,0,0,938589
169,2013-04-01,Dire Dawa,508918,433119,0,0,433119,0,0,0,0,433119,0,0,0,0,433119,0,0,433119
170,2013-04-01,Gambela,462832,393896,393896,0,0,0,0,393896,0,0,0,0,393896,0,0,0,0,393896
171,2013-04-01,Harari,260022,221294,0,0,221294,0,0,0,0,221294,0,0,0,0,221294,0,0,221294
172,2013-04-01,Oromia,37843293,32206924,21080016,4151599,6975309,0,0,21080016,4151599,6975309,0,0,21080016,4151599,6975309,0,0,32206924
173,2013-04-01,SNNP,20262695,17244768,4270489,3273452,9700827,0,0,4270489,3273452,9700827,0,0,4270489,11519329,1454950,0,0,17244768
174,2013-04-01,Somali,6216411,5290539,0,3802227,1488312,0,0,0,3802227,1488312,0,0,0,3802227,1488312,0,0,5290539
175,2013-04-01,Tigray,5357192,4559293,374937,760220,3424136,0,0,374937,760220,3424136,0,0,374937,760220,3424136,0,0,4559293
176,2013-07-01,Addis Ababa,3585647,3051602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,2013-07-01,Afar,1904414,1620769,0,653284,967485,0,0,0,653284,967485,0,0,0,653284,967485,0,0,1620769
178,2013-07-01,Amhara,21790172,18544752,12618473,0,5926279,0,0,12618473,0,5926279,0,0,10467875,8076877,0,0,0,18544752
179,2013-07-01,Benishangul Gumz,1102849,938589,938589,0,0,0,0,938589,0,0,0,0,938589,0,0,0,0,938589
180,2013-07-01,Dire Dawa,508918,433119,0,0,433119,0,0,0,0,433119,0,0,0,0,433119,0,0,433119
181,2013-07-01,Gambela,462832,393896,393896,0,0,0,0,393896,0,0,0,0,393896,0,0,0,0,393896
182,2013-07-01,Harari,260022,221294,0,0,221294,0,0,0,0,221294,0,0,0,221294,0,0,0,221294
183,2013-07-01,Oromia,37843293,32206924,21080016,4373390,6753518,0,0,21080016,4373390,6753518,0,0,16075857,16131067,0,0,0,32206924
184,2013-07-01,SNNP,20262695,17244768,4270489,11519329,1454950,0,0,4270489,11519329,1454950,0,0,4270489,12974279,0,0,0,17244768
185,2013-07-01,Somali,6216411,5290539,0,4184976,1105563,0,0,0,4184976,1105563,0,0,0,4184976,1105563,0,0,5290539
186,2013-07-01,Tigray,5357192,4559293,374937,760220,3424136,0,0,374937,760220,3424136,0,0,374937,4184356,0,0,0,4559293
187,2013-10-01,Addis Ababa,3585647,3051602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,2013-10-01,Afar,1904414,1620769,0,1200546,420223,0,0,0,1200546,420223,0,0,0,653284,967485,0,0,1620769
189,2013-10-01,Amhara,21790172,18544752,10467875,8076877,0,0,0,10467875,8076877,0,0,0,13375897,4729319,439536,0,0,18544752
190,2013-10-01,Benishangul Gumz,1102849,938589,938589,0,0,0,0,938589,0,0,0,0,938589,0,0,0,0,938589
191,2013-10-01,Dire Dawa,508918,433119,0,433119,0,0,0,0,433119,0,0,0,0,433119,0,0,0,433119
192,2013-10-01,Gambela,462832,393896,393896,0,0,0,0,393896,0,0,0,0,393896,0,0,0,0,393896
193,2013-10-01,Harari,260022,221294,0,221294,0,0,0,0,221294,0,0,0,0,221294,0,0,0,221294
194,2013-10-01,Oromia,37843293,32206924,16075857,16131067,0,0,0,16075857,16131067,0,0,0,21080016,11126908,0,0,0,32206924
195,2013-10-01,SNNP,20262695,17244768,4270489,12974279,0,0,0,4270489,12974279,0,0,0,4270489,12198668,775611,0,0,17244768
196,2013-10-01,Somali,6216411,5290539,0,4733241,557298,0,0,0,4733241,557298,0,0,0,5290539,0,0,0,5290539
197,2013-10-01,Tigray,5357192,4559293,374937,4184356,0,0,0,374937,4184356,0,0,0,374937,3384314,800042,0,0,4559293
198,2014-01-01,Addis Ababa,3585647,3138252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,2014-01-01,Afar,1904414,1666792,0,1234637,432155,0,0,0,1234637,432155,0,0,0,1234637,432155,0,0,1666792
200,2014-01-01,Amhara,21790172,19071326,18619310,452016,0,0,0,18619310,452016,0,0,0,10765109,4233562,4072655,0,0,19071326
201,2014-01-01,Benishangul Gumz,1102849,965241,965241,0,0,0,0,965241,0,0,0,0,965241,0,0,0,0,965241
202,2014-01-01,Dire Dawa,508918,445418,445418,0,0,0,0,445418,0,0,0,0,0,445418,0,0,0,445418
203,2014-01-01,Gambela,462832,405081,405081,0,0,0,0,405081,0,0,0,0,405081,0,0,0,0,405081
204,2014-01-01,Harari,260022,227578,227578,0,0,0,0,227578,0,0,0,0,0,227578,0,0,0,227578
205,2014-01-01,Oromia,37843293,33121436,33121436,0,0,0,0,33121436,0,0,0,0,20465116,12656320,0,0,0,33121436
206,2014-01-01,SNNP,20262695,17734431,11642510,6091921,0,0,0,11642510,6091921,0,0,0,5382360,12352071,0,0,0,17734431
207,2014-01-01,Somali,6216411,5440761,0,5440761,0,0,0,0,5440761,0,0,0,0,5440761,0,0,0,5440761
208,2014-01-01,Tigray,5357192,4688752,1533519,3155233,0,0,0,2191990,2496762,0,0,0,1167389,1024601,2496762,0,0,4688752
209,2014-04-01,Addis Ababa,3585647,3138252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,2014-04-01,Afar,1904414,1666792,0,1234637,432155,0,0,0,1234637,432155,0,0,0,1234637,432155,0,0,1666792
211,2014-04-01,Amhara,21790172,19071326,10765109,4233562,4072655,0,0,10765109,4233562,4072655,0,0,10765109,7075270,1230947,0,0,19071326
