,date,ML1,ADM0_EN,ADM1_EN,ADM2_EN
168,2010-01-01,3.0,Ethiopia,SNNP,Hadiya
169,2010-01-01,3.0,Ethiopia,SNNP,Halaba Special
170,2010-01-01,3.0,Ethiopia,Harari,Harari
220,2010-01-01,4.0,Ethiopia,Oromia,Ilu Aba Bora
221,2010-01-01,4.0,Ethiopia,Somali,Jarar
5447,2010-01-01,2.0,Ethiopia,Oromia,Jimma
5448,2010-01-01,2.0,Ethiopia,SNNP,Kefa
5450,2010-01-01,2.0,Ethiopia,Benishangul Gumz,Kemashi
173,2010-01-01,3.0,Ethiopia,SNNP,Kembata Tibaro
174,2010-01-01,3.0,Ethiopia,SNNP,Konso
5453,2010-01-01,2.0,Ethiopia,SNNP,Konta Special
223,2010-01-01,4.0,Ethiopia,Somali,Liban
224,2010-01-01,4.0,Ethiopia,Gambela,Mejenger
8553,2010-01-01,99.0,Ethiopia,Tigray,Mekele Special
179,2010-01-01,3.0,Ethiopia,SNNP,Mirab Omo
225,2010-01-01,4.0,Ethiopia,Somali,Nogob
226,2010-01-01,4.0,Ethiopia,Amhara,North Gondar
8554,2010-01-01,99.0,Ethiopia,Amhara,North Shewa
8555,2010-01-01,99.0,Ethiopia,Amhara,North Wello
185,2010-01-01,3.0,Ethiopia,Tigray,North Western
229,2010-01-01,4.0,Ethiopia,Gambela,Nuwer
187,2010-01-01,3.0,Ethiopia,Amhara,Oromia
230,2010-01-01,4.0,Ethiopia,Somali,Shabelle
189,2010-01-01,3.0,Ethiopia,SNNP,Sidama
190,2010-01-01,3.0,Ethiopia,SNNP,Siltie
231,2010-01-01,4.0,Ethiopia,Somali,Siti
8557,2010-01-01,99.0,Ethiopia,Tigray,South Eastern
193,2010-01-01,3.0,Ethiopia,Amhara,South Gondar
194,2010-01-01,3.0,Ethiopia,SNNP,South Omo
8558,2010-01-01,99.0,Ethiopia,Amhara,South Wello
196,2010-01-01,3.0,Ethiopia,Oromia,South West Shewa
234,2010-01-01,4.0,Ethiopia,Tigray,Southern
235,2010-01-01,4.0,Ethiopia,Amhara,Wag Hamra
199,2010-01-01,3.0,Ethiopia,Oromia,West Arsi
