,date,CS,ADM0_EN,ADM1_EN,ADM2_EN
246,2010-04-01,2.0,Ethiopia,Benishangul Gumz,Asosa
258,2010-04-01,2.0,Ethiopia,Dire Dawa,Dire Dawa urban
5179,2010-04-01,1.0,Ethiopia,Oromia,Horo Gudru Wellega
5183,2010-04-01,1.0,Ethiopia,Oromia,Kelem Wellega
286,2010-04-01,2.0,Ethiopia,Benishangul Gumz,Mao Komo Special
5188,2010-04-01,1.0,Ethiopia,Benishangul Gumz,Metekel
293,2010-04-01,2.0,Ethiopia,Oromia,North Shewa
5195,2010-04-01,1.0,Ethiopia,SNNP,Sheka
310,2010-04-01,2.0,Ethiopia,Oromia,West Shewa
5160,2010-04-01,1.0,Ethiopia,Amhara,Awi
5203,2010-04-01,1.0,Ethiopia,Amhara,West Gondar
406,2010-07-01,2.0,Ethiopia,Somali,Afder
408,2010-07-01,2.0,Ethiopia,SNNP,Alle
5211,2010-07-01,1.0,Ethiopia,SNNP,Amaro
410,2010-07-01,2.0,Ethiopia,Oromia,Arsi
412,2010-07-01,2.0,Ethiopia,Oromia,Bale
415,2010-07-01,2.0,Ethiopia,Oromia,Borena
5219,2010-07-01,1.0,Ethiopia,Oromia,Buno Bedele
416,2010-07-01,2.0,Ethiopia,SNNP,Burji
494,2010-07-01,3.0,Ethiopia,Tigray,Central
5221,2010-07-01,1.0,Ethiopia,Amhara,Central Gondar
418,2010-07-01,2.0,Ethiopia,Somali,Daawa
419,2010-07-01,2.0,Ethiopia,SNNP,Dawuro
420,2010-07-01,2.0,Ethiopia,SNNP,Derashe
497,2010-07-01,3.0,Ethiopia,Dire Dawa,Dire Dawa rural
5223,2010-07-01,1.0,Ethiopia,Amhara,East Gojam
500,2010-07-01,3.0,Ethiopia,Oromia,East Hararge
501,2010-07-01,3.0,Ethiopia,Oromia,East Shewa
5226,2010-07-01,1.0,Ethiopia,Oromia,East Wellega
502,2010-07-01,3.0,Ethiopia,Tigray,Eastern
503,2010-07-01,3.0,Ethiopia,Somali,Erer
429,2010-07-01,2.0,Ethiopia,Somali,Fafan
507,2010-07-01,3.0,Ethiopia,SNNP,Gamo
432,2010-07-01,2.0,Ethiopia,SNNP,Gedeo
509,2010-07-01,3.0,Ethiopia,SNNP,Gofa
5232,2010-07-01,1.0,Ethiopia,Oromia,Guji
435,2010-07-01,2.0,Ethiopia,SNNP,Guraghe
436,2010-07-01,2.0,Ethiopia,SNNP,Hadiya
513,2010-07-01,3.0,Ethiopia,SNNP,Halaba Special
5235,2010-07-01,1.0,Ethiopia,Harari,Harari
440,2010-07-01,2.0,Ethiopia,Somali,Jarar
5238,2010-07-01,1.0,Ethiopia,Oromia,Jimma
5241,2010-07-01,1.0,Ethiopia,Benishangul Gumz,Kemashi
445,2010-07-01,2.0,Ethiopia,SNNP,Kembata Tibaro
446,2010-07-01,2.0,Ethiopia,SNNP,Konso
449,2010-07-01,2.0,Ethiopia,Somali,Liban
522,2010-07-01,3.0,Ethiopia,Tigray,Mekele Special
5246,2010-07-01,1.0,Ethiopia,SNNP,Mirab Omo
454,2010-07-01,2.0,Ethiopia,Somali,Nogob
525,2010-07-01,3.0,Ethiopia,Amhara,North Gondar
526,2010-07-01,3.0,Ethiopia,Amhara,North Shewa
528,2010-07-01,3.0,Ethiopia,Amhara,North Wello
458,2010-07-01,2.0,Ethiopia,Tigray,North Western
530,2010-07-01,3.0,Ethiopia,Gambela,Nuwer
460,2010-07-01,2.0,Ethiopia,Amhara,Oromia
461,2010-07-01,2.0,Ethiopia,Somali,Shabelle
463,2010-07-01,2.0,Ethiopia,SNNP,Sidama
536,2010-07-01,3.0,Ethiopia,SNNP,Siltie
465,2010-07-01,2.0,Ethiopia,Somali,Siti
538,2010-07-01,3.0,Ethiopia,Tigray,South Eastern
539,2010-07-01,3.0,Ethiopia,Amhara,South Gondar
467,2010-07-01,2.0,Ethiopia,SNNP,South Omo
468,2010-07-01,2.0,Ethiopia,Amhara,South Wello
5258,2010-07-01,1.0,Ethiopia,Oromia,South West Shewa
543,2010-07-01,3.0,Ethiopia,Tigray,Southern
544,2010-07-01,3.0,Ethiopia,Amhara,Wag Hamra
5259,2010-07-01,1.0,Ethiopia,Oromia,West Arsi
473,2010-07-01,2.0,Ethiopia,Oromia,West Guji
547,2010-07-01,3.0,Ethiopia,Oromia,West Hararge
5264,2010-07-01,1.0,Ethiopia,Oromia,West Wellega
5265,2010-07-01,1.0,Ethiopia,Tigray,Western
478,2010-07-01,2.0,Ethiopia,SNNP,Wolayita
5266,2010-07-01,1.0,Ethiopia,SNNP,Yem Special
480,2010-07-01,2.0,Ethiopia,Afar,Zone 1 (Awsi Rasu)
551,2010-07-01,3.0,Ethiopia,Afar,Zone 2 (Kilbet Rasu)
482,2010-07-01,2.0,Ethiopia,Afar,Zone 3 (Gabi Rasu)
553,2010-07-01,3.0,Ethiopia,Afar,Zone 4 (Fantana Rasu)
484,2010-07-01,2.0,Ethiopia,Afar,Zone 5 (Hari Rasu)
486,2010-07-01,3.0,Ethiopia,Gambela,Agnewak
422,2010-07-01,2.0,Ethiopia,Somali,Doolo
448,2010-07-01,2.0,Ethiopia,Somali,Korahe
