,date,CS,ADMIN0,ADMIN1,ADMIN2
290,2018-10-01,2.0,Ethiopia,Amhara,South Wollo
349,2018-10-01,1.0,Ethiopia,Amhara,Argoba
293,2018-10-01,2.0,Ethiopia,Amhara,Wag Himra
351,2018-10-01,1.0,Ethiopia,Oromia,West Arsi
354,2018-10-01,1.0,Ethiopia,Oromia,West Shewa
356,2018-10-01,1.0,Ethiopia,Tigray,West Tigray
357,2018-10-01,1.0,Ethiopia,SNNPR,Wolayita
358,2018-10-01,1.0,Ethiopia,SNNPR,Yem
300,2018-10-01,2.0,Ethiopia,Afar,Gabi
302,2018-10-01,2.0,Ethiopia,Afar,Khari
363,2018-10-01,1.0,Ethiopia,Tigray,Northwest Tigray
368,2018-10-01,1.0,Ethiopia,Benshangul Gumuz,Asosa
372,2018-10-01,1.0,Ethiopia,Oromia,South West Shewa
374,2018-10-01,1.0,Ethiopia,SNNPR,Hadiya
375,2018-10-01,1.0,Ethiopia,SNNPR,Silltie
376,2018-10-01,1.0,Ethiopia,Oromia,North Shewa
278,2018-10-01,2.0,Ethiopia,Harari,Harari
373,2018-10-01,1.0,Ethiopia,Amhara,North Gondar
352,2018-10-01,1.0,Ethiopia,Amhara,West Gojam
321,2018-10-01,1.0,Ethiopia,Amhara,Awi
366,2018-10-01,1.0,Ethiopia,Benshangul Gumuz,Pawe
371,2018-10-01,1.0,Ethiopia,Addis Ababa,Region 14
377,2012-10-01,2.0,Ethiopia,SNNPR,Segen
378,2012-10-01,2.0,Ethiopia,Oromia,Bale
379,2012-10-01,2.0,Ethiopia,Oromia,Borena
386,2012-10-01,2.0,Ethiopia,Somali,Jarar
5514,2012-10-01,1.0,Ethiopia,Oromia,East Wellega
3199,2012-10-01,2.0,Ethiopia,SNNPR,Gedeo
390,2012-10-01,2.0,Ethiopia,Oromia,Gujii
5520,2012-10-01,1.0,Ethiopia,Oromia,Ilubabor
392,2012-10-01,2.0,Ethiopia,Somali,Fafan
5524,2012-10-01,1.0,Ethiopia,Oromia,Kelem
395,2012-10-01,2.0,Ethiopia,Somali,Korahe
396,2012-10-01,2.0,Ethiopia,Somali,Liben
6315,2012-10-01,3.0,Ethiopia,Amhara,North Wollo
5529,2012-10-01,1.0,Ethiopia,Gambela,Nuer
6317,2012-10-01,3.0,Ethiopia,Somali,Sitti
3217,2012-10-01,2.0,Ethiopia,Tigray,South Tigray
3221,2012-10-01,2.0,Ethiopia,Oromia,West Hararge
5541,2012-10-01,1.0,Ethiopia,Oromia,West Wellega
6324,2012-10-01,3.0,Ethiopia,Afar,Awusi
3226,2012-10-01,2.0,Ethiopia,Afar,Fanti
404,2012-10-01,2.0,Ethiopia,Somali,Shebelle
5548,2012-10-01,1.0,Ethiopia,Gambela,Itang
5549,2012-10-01,1.0,Ethiopia,Benshangul Gumuz,Mao-Komo
5551,2012-10-01,1.0,Ethiopia,Gambela,Agniwak
3234,2012-10-01,2.0,Ethiopia,Oromia,East Hararge
6682,2012-10-01,3.0,Ethiopia,Tigray,East Tigray
5554,2012-10-01,1.0,Ethiopia,Benshangul Gumuz,Kemashi
5555,2012-10-01,1.0,Ethiopia,Benshangul Gumuz,Metekel
3239,2012-10-01,2.0,Ethiopia,Afar,Kilbati
407,2012-10-01,2.0,Ethiopia,Somali,Nogob
409,2012-10-01,2.0,Ethiopia,Somali,Dollo
5502,2012-10-01,1.0,Ethiopia,SNNPR,Sheka
3187,2012-10-01,2.0,Ethiopia,SNNPR,Sidama
381,2012-10-01,2.0,Ethiopia,Somali,Afder
3189,2012-10-01,2.0,Ethiopia,SNNPR,Alaba
5506,2012-10-01,1.0,Ethiopia,Oromia,Arsi
5508,2012-10-01,1.0,Ethiopia,SNNPR,Basketo
5509,2012-10-01,1.0,Ethiopia,SNNPR,Bench Maji
3193,2012-10-01,2.0,Ethiopia,Tigray,Central Tigray
5511,2012-10-01,1.0,Ethiopia,SNNPR,Dawro
3195,2012-10-01,2.0,Ethiopia,Dire Dawa,Dire Dawa
5512,2012-10-01,1.0,Ethiopia,Amhara,East Gojam
5513,2012-10-01,1.0,Ethiopia,Oromia,East Shewa
388,2012-10-01,2.0,Ethiopia,SNNPR,Gamo Gofa
5518,2012-10-01,1.0,Ethiopia,SNNPR,Gurage
5519,2012-10-01,1.0,Ethiopia,Oromia,Horo Guduru
5521,2012-10-01,1.0,Ethiopia,Oromia,Jimma
394,2012-10-01,2.0,Ethiopia,SNNPR,Kembata Tembaro
5523,2012-10-01,1.0,Ethiopia,SNNPR,Keffa
5525,2012-10-01,1.0,Ethiopia,SNNPR,Konta
5526,2012-10-01,1.0,Ethiopia,Gambela,Mezhenger
5527,2012-10-01,1.0,Ethiopia,Amhara,North Shewa
5530,2012-10-01,1.0,Ethiopia,Amhara,Oromia
5531,2012-10-01,1.0,Ethiopia,Amhara,South Gondar
3215,2012-10-01,2.0,Ethiopia,SNNPR,South Omo
3216,2012-10-01,2.0,Ethiopia,Amhara,South Wollo
5535,2012-10-01,1.0,Ethiopia,Amhara,Argoba
6680,2012-10-01,3.0,Ethiopia,Amhara,Wag Himra
5537,2012-10-01,1.0,Ethiopia,Oromia,West Arsi
5540,2012-10-01,1.0,Ethiopia,Oromia,West Shewa
5542,2012-10-01,1.0,Ethiopia,Tigray,West Tigray
401,2012-10-01,2.0,Ethiopia,SNNPR,Wolayita
5544,2012-10-01,1.0,Ethiopia,SNNPR,Yem
3225,2012-10-01,2.0,Ethiopia,Afar,Gabi
3227,2012-10-01,2.0,Ethiopia,Afar,Khari
5547,2012-10-01,1.0,Ethiopia,Tigray,Northwest Tigray
5552,2012-10-01,1.0,Ethiopia,Benshangul Gumuz,Asosa
5557,2012-10-01,1.0,Ethiopia,Oromia,South West Shewa
406,2012-10-01,2.0,Ethiopia,SNNPR,Hadiya
3243,2012-10-01,2.0,Ethiopia,SNNPR,Silltie
3244,2012-10-01,2.0,Ethiopia,Oromia,North Shewa
7002,2012-10-01,99.0,Ethiopia,Harari,Harari
5558,2012-10-01,1.0,Ethiopia,Amhara,North Gondar
5538,2012-10-01,1.0,Ethiopia,Amhara,West Gojam
5507,2012-10-01,1.0,Ethiopia,Amhara,Awi
5550,2012-10-01,1.0,Ethiopia,Benshangul Gumuz,Pawe
7006,2012-10-01,99.0,Ethiopia,Addis Ababa,Region 14
465,2010-04-01,3.0,Ethiopia,SNNPR,Segen
1111,2010-04-01,2.0,Ethiopia,Oromia,Bale
1113,2010-04-01,2.0,Ethiopia,Oromia,Borena
474,2010-04-01,3.0,Ethiopia,Somali,Jarar
4324,2010-04-01,1.0,Ethiopia,Oromia,East Wellega
1127,2010-04-01,2.0,Ethiopia,SNNPR,Gedeo
4327,2010-04-01,1.0,Ethiopia,Oromia,Gujii
4330,2010-04-01,1.0,Ethiopia,Oromia,Ilubabor
1132,2010-04-01,2.0,Ethiopia,Somali,Fafan
4333,2010-04-01,1.0,Ethiopia,Oromia,Kelem
482,2010-04-01,3.0,Ethiopia,Somali,Korahe
1139,2010-04-01,2.0,Ethiopia,Somali,Liben
485,2010-04-01,3.0,Ethiopia,Amhara,North Wollo
486,2010-04-01,3.0,Ethiopia,Gambela,Nuer
1144,2010-04-01,2.0,Ethiopia,Somali,Sitti
492,2010-04-01,3.0,Ethiopia,Tigray,South Tigray
496,2010-04-01,3.0,Ethiopia,Oromia,West Hararge
4344,2010-04-01,1.0,Ethiopia,Oromia,West Wellega
499,2010-04-01,3.0,Ethiopia,Afar,Awusi
501,2010-04-01,3.0,Ethiopia,Afar,Fanti
1160,2010-04-01,2.0,Ethiopia,Somali,Shebelle
505,2010-04-01,3.0,Ethiopia,Gambela,Itang
1163,2010-04-01,2.0,Ethiopia,Benshangul Gumuz,Mao-Komo
506,2010-04-01,3.0,Ethiopia,Gambela,Agniwak
507,2010-04-01,3.0,Ethiopia,Oromia,East Hararge
508,2010-04-01,3.0,Ethiopia,Tigray,East Tigray
4353,2010-04-01,1.0,Ethiopia,Benshangul Gumuz,Kemashi
4354,2010-04-01,1.0,Ethiopia,Benshangul Gumuz,Metekel
510,2010-04-01,3.0,Ethiopia,Afar,Kilbati
513,2010-04-01,3.0,Ethiopia,Somali,Nogob
515,2010-04-01,3.0,Ethiopia,Somali,Dollo
4314,2010-04-01,1.0,Ethiopia,SNNPR,Sheka
1114,2010-04-01,2.0,Ethiopia,SNNPR,Sidama
1115,2010-04-01,2.0,Ethiopia,Somali,Afder
470,2010-04-01,3.0,Ethiopia,SNNPR,Alaba
4317,2010-04-01,1.0,Ethiopia,Oromia,Arsi
4319,2010-04-01,1.0,Ethiopia,SNNPR,Basketo
1119,2010-04-01,2.0,Ethiopia,SNNPR,Bench Maji
473,2010-04-01,3.0,Ethiopia,Tigray,Central Tigray
1121,2010-04-01,2.0,Ethiopia,SNNPR,Dawro
1123,2010-04-01,2.0,Ethiopia,Dire Dawa,Dire Dawa
4322,2010-04-01,1.0,Ethiopia,Amhara,East Gojam
476,2010-04-01,3.0,Ethiopia,Oromia,East Shewa
1126,2010-04-01,2.0,Ethiopia,SNNPR,Gamo Gofa
1129,2010-04-01,2.0,Ethiopia,SNNPR,Gurage
4329,2010-04-01,1.0,Ethiopia,Oromia,Horo Guduru
4331,2010-04-01,1.0,Ethiopia,Oromia,Jimma
1134,2010-04-01,2.0,Ethiopia,SNNPR,Kembata Tembaro
4332,2010-04-01,1.0,Ethiopia,SNNPR,Keffa
4334,2010-04-01,1.0,Ethiopia,SNNPR,Konta
4335,2010-04-01,1.0,Ethiopia,Gambela,Mezhenger
484,2010-04-01,3.0,Ethiopia,Amhara,North Shewa
487,2010-04-01,3.0,Ethiopia,Amhara,Oromia
4337,2010-04-01,1.0,Ethiopia,Amhara,South Gondar
1146,2010-04-01,2.0,Ethiopia,SNNPR,South Omo
1147,2010-04-01,2.0,Ethiopia,Amhara,South Wollo
1148,2010-04-01,2.0,Ethiopia,Amhara,Argoba
4839,2010-04-01,4.0,Ethiopia,Amhara,Wag Himra
4340,2010-04-01,1.0,Ethiopia,Oromia,West Arsi
1152,2010-04-01,2.0,Ethiopia,Oromia,West Shewa
4345,2010-04-01,1.0,Ethiopia,Tigray,West Tigray
1155,2010-04-01,2.0,Ethiopia,SNNPR,Wolayita
4346,2010-04-01,1.0,Ethiopia,SNNPR,Yem
1158,2010-04-01,2.0,Ethiopia,Afar,Gabi
1159,2010-04-01,2.0,Ethiopia,Afar,Khari
1161,2010-04-01,2.0,Ethiopia,Tigray,Northwest Tigray
1165,2010-04-01,2.0,Ethiopia,Benshangul Gumuz,Asosa
4356,2010-04-01,1.0,Ethiopia,Oromia,South West Shewa
1171,2010-04-01,2.0,Ethiopia,SNNPR,Hadiya
1173,2010-04-01,2.0,Ethiopia,SNNPR,Silltie
1174,2010-04-01,2.0,Ethiopia,Oromia,North Shewa
479,2010-04-01,3.0,Ethiopia,Harari,Harari
4357,2010-04-01,1.0,Ethiopia,Amhara,North Gondar
4341,2010-04-01,1.0,Ethiopia,Amhara,West Gojam
4318,2010-04-01,1.0,Ethiopia,Amhara,Awi
4350,2010-04-01,1.0,Ethiopia,Benshangul Gumuz,Pawe
7039,2010-04-01,99.0,Ethiopia,Addis Ababa,Region 14
3554,2015-01-01,1.0,Ethiopia,SNNPR,Segen
3555,2015-01-01,1.0,Ethiopia,Oromia,Bale
6562,2015-01-01,3.0,Ethiopia,Oromia,Borena
526,2015-01-01,2.0,Ethiopia,Somali,Jarar
3571,2015-01-01,1.0,Ethiopia,Oromia,East Wellega
3573,2015-01-01,1.0,Ethiopia,SNNPR,Gedeo
3574,2015-01-01,1.0,Ethiopia,Oromia,Gujii
3578,2015-01-01,1.0,Ethiopia,Oromia,Ilubabor
532,2015-01-01,2.0,Ethiopia,Somali,Fafan
3583,2015-01-01,1.0,Ethiopia,Oromia,Kelem
535,2015-01-01,2.0,Ethiopia,Somali,Korahe
536,2015-01-01,2.0,Ethiopia,Somali,Liben
3588,2015-01-01,1.0,Ethiopia,Amhara,North Wollo
3589,2015-01-01,1.0,Ethiopia,Gambela,Nuer
541,2015-01-01,2.0,Ethiopia,Somali,Sitti
545,2015-01-01,2.0,Ethiopia,Tigray,South Tigray
548,2015-01-01,2.0,Ethiopia,Oromia,West Hararge
3602,2015-01-01,1.0,Ethiopia,Oromia,West Wellega
550,2015-01-01,2.0,Ethiopia,Afar,Awusi
552,2015-01-01,2.0,Ethiopia,Afar,Fanti
554,2015-01-01,2.0,Ethiopia,Somali,Shebelle
3612,2015-01-01,1.0,Ethiopia,Gambela,Itang
3613,2015-01-01,1.0,Ethiopia,Benshangul Gumuz,Mao-Komo
3615,2015-01-01,1.0,Ethiopia,Gambela,Agniwak
3617,2015-01-01,1.0,Ethiopia,Oromia,East Hararge
561,2015-01-01,2.0,Ethiopia,Tigray,East Tigray
3619,2015-01-01,1.0,Ethiopia,Benshangul Gumuz,Kemashi
3620,2015-01-01,1.0,Ethiopia,Benshangul Gumuz,Metekel
563,2015-01-01,2.0,Ethiopia,Afar,Kilbati
565,2015-01-01,2.0,Ethiopia,Somali,Nogob
567,2015-01-01,2.0,Ethiopia,Somali,Dollo
3556,2015-01-01,1.0,Ethiopia,SNNPR,Sheka
3558,2015-01-01,1.0,Ethiopia,SNNPR,Sidama
520,2015-01-01,2.0,Ethiopia,Somali,Afder
521,2015-01-01,2.0,Ethiopia,SNNPR,Alaba
3561,2015-01-01,1.0,Ethiopia,Oromia,Arsi
3563,2015-01-01,1.0,Ethiopia,SNNPR,Basketo
3564,2015-01-01,1.0,Ethiopia,SNNPR,Bench Maji
3565,2015-01-01,1.0,Ethiopia,Tigray,Central Tigray
3566,2015-01-01,1.0,Ethiopia,SNNPR,Dawro
527,2015-01-01,2.0,Ethiopia,Dire Dawa,Dire Dawa
3569,2015-01-01,1.0,Ethiopia,Amhara,East Gojam
3570,2015-01-01,1.0,Ethiopia,Oromia,East Shewa
529,2015-01-01,2.0,Ethiopia,SNNPR,Gamo Gofa
3575,2015-01-01,1.0,Ethiopia,SNNPR,Gurage
3577,2015-01-01,1.0,Ethiopia,Oromia,Horo Guduru
3580,2015-01-01,1.0,Ethiopia,Oromia,Jimma
3581,2015-01-01,1.0,Ethiopia,SNNPR,Kembata Tembaro
3582,2015-01-01,1.0,Ethiopia,SNNPR,Keffa
3584,2015-01-01,1.0,Ethiopia,SNNPR,Konta
3586,2015-01-01,1.0,Ethiopia,Gambela,Mezhenger
3587,2015-01-01,1.0,Ethiopia,Amhara,North Shewa
3590,2015-01-01,1.0,Ethiopia,Amhara,Oromia
3592,2015-01-01,1.0,Ethiopia,Amhara,South Gondar
787,2015-01-01,2.0,Ethiopia,SNNPR,South Omo
3594,2015-01-01,1.0,Ethiopia,Amhara,South Wollo
3596,2015-01-01,1.0,Ethiopia,Amhara,Argoba
6569,2015-01-01,3.0,Ethiopia,Amhara,Wag Himra
547,2015-01-01,2.0,Ethiopia,Oromia,West Arsi
3601,2015-01-01,1.0,Ethiopia,Oromia,West Shewa
3603,2015-01-01,1.0,Ethiopia,Tigray,West Tigray
549,2015-01-01,2.0,Ethiopia,SNNPR,Wolayita
3605,2015-01-01,1.0,Ethiopia,SNNPR,Yem
793,2015-01-01,2.0,Ethiopia,Afar,Gabi
553,2015-01-01,2.0,Ethiopia,Afar,Khari
3611,2015-01-01,1.0,Ethiopia,Tigray,Northwest Tigray
3616,2015-01-01,1.0,Ethiopia,Benshangul Gumuz,Asosa
3622,2015-01-01,1.0,Ethiopia,Oromia,South West Shewa
3624,2015-01-01,1.0,Ethiopia,SNNPR,Hadiya
3626,2015-01-01,1.0,Ethiopia,SNNPR,Silltie
3627,2015-01-01,1.0,Ethiopia,Oromia,North Shewa
3576,2015-01-01,1.0,Ethiopia,Harari,Harari
3623,2015-01-01,1.0,Ethiopia,Amhara,North Gondar
3599,2015-01-01,1.0,Ethiopia,Amhara,West Gojam
3562,2015-01-01,1.0,Ethiopia,Amhara,Awi
3614,2015-01-01,1.0,Ethiopia,Benshangul Gumuz,Pawe
3621,2015-01-01,1.0,Ethiopia,Addis Ababa,Region 14
3483,2015-04-01,1.0,Ethiopia,SNNPR,Segen
3484,2015-04-01,1.0,Ethiopia,Oromia,Bale
5007,2015-04-01,3.0,Ethiopia,Oromia,Borena
576,2015-04-01,2.0,Ethiopia,Somali,Jarar
3499,2015-04-01,1.0,Ethiopia,Oromia,East Wellega
3501,2015-04-01,1.0,Ethiopia,SNNPR,Gedeo
3502,2015-04-01,1.0,Ethiopia,Oromia,Gujii
3506,2015-04-01,1.0,Ethiopia,Oromia,Ilubabor
582,2015-04-01,2.0,Ethiopia,Somali,Fafan
3510,2015-04-01,1.0,Ethiopia,Oromia,Kelem
584,2015-04-01,2.0,Ethiopia,Somali,Korahe
585,2015-04-01,2.0,Ethiopia,Somali,Liben
587,2015-04-01,2.0,Ethiopia,Amhara,North Wollo
3516,2015-04-01,1.0,Ethiopia,Gambela,Nuer
589,2015-04-01,2.0,Ethiopia,Somali,Sitti
593,2015-04-01,2.0,Ethiopia,Tigray,South Tigray
5024,2015-04-01,3.0,Ethiopia,Oromia,West Hararge
3529,2015-04-01,1.0,Ethiopia,Oromia,West Wellega
597,2015-04-01,2.0,Ethiopia,Afar,Awusi
599,2015-04-01,2.0,Ethiopia,Afar,Fanti
601,2015-04-01,2.0,Ethiopia,Somali,Shebelle
3539,2015-04-01,1.0,Ethiopia,Gambela,Itang
3540,2015-04-01,1.0,Ethiopia,Benshangul Gumuz,Mao-Komo
3542,2015-04-01,1.0,Ethiopia,Gambela,Agniwak
606,2015-04-01,2.0,Ethiopia,Oromia,East Hararge
607,2015-04-01,2.0,Ethiopia,Tigray,East Tigray
3545,2015-04-01,1.0,Ethiopia,Benshangul Gumuz,Kemashi
3546,2015-04-01,1.0,Ethiopia,Benshangul Gumuz,Metekel
608,2015-04-01,2.0,Ethiopia,Afar,Kilbati
610,2015-04-01,2.0,Ethiopia,Somali,Nogob
611,2015-04-01,2.0,Ethiopia,Somali,Dollo
3485,2015-04-01,1.0,Ethiopia,SNNPR,Sheka
3487,2015-04-01,1.0,Ethiopia,SNNPR,Sidama
571,2015-04-01,2.0,Ethiopia,Somali,Afder
3825,2015-04-01,2.0,Ethiopia,SNNPR,Alaba
573,2015-04-01,2.0,Ethiopia,Oromia,Arsi
3492,2015-04-01,1.0,Ethiopia,SNNPR,Basketo
3493,2015-04-01,1.0,Ethiopia,SNNPR,Bench Maji
575,2015-04-01,2.0,Ethiopia,Tigray,Central Tigray
3495,2015-04-01,1.0,Ethiopia,SNNPR,Dawro
577,2015-04-01,2.0,Ethiopia,Dire Dawa,Dire Dawa
3497,2015-04-01,1.0,Ethiopia,Amhara,East Gojam
3498,2015-04-01,1.0,Ethiopia,Oromia,East Shewa
3830,2015-04-01,2.0,Ethiopia,SNNPR,Gamo Gofa
3503,2015-04-01,1.0,Ethiopia,SNNPR,Gurage
3505,2015-04-01,1.0,Ethiopia,Oromia,Horo Guduru
3507,2015-04-01,1.0,Ethiopia,Oromia,Jimma
3508,2015-04-01,1.0,Ethiopia,SNNPR,Kembata Tembaro
3509,2015-04-01,1.0,Ethiopia,SNNPR,Keffa
3511,2015-04-01,1.0,Ethiopia,SNNPR,Konta
3513,2015-04-01,1.0,Ethiopia,Gambela,Mezhenger
3514,2015-04-01,1.0,Ethiopia,Amhara,North Shewa
3517,2015-04-01,1.0,Ethiopia,Amhara,Oromia
3519,2015-04-01,1.0,Ethiopia,Amhara,South Gondar
3842,2015-04-01,2.0,Ethiopia,SNNPR,South Omo
3521,2015-04-01,1.0,Ethiopia,Amhara,South Wollo
3523,2015-04-01,1.0,Ethiopia,Amhara,Argoba
5022,2015-04-01,3.0,Ethiopia,Amhara,Wag Himra
3845,2015-04-01,2.0,Ethiopia,Oromia,West Arsi
3528,2015-04-01,1.0,Ethiopia,Oromia,West Shewa
3530,2015-04-01,1.0,Ethiopia,Tigray,West Tigray
3847,2015-04-01,2.0,Ethiopia,SNNPR,Wolayita
3532,2015-04-01,1.0,Ethiopia,SNNPR,Yem
5027,2015-04-01,3.0,Ethiopia,Afar,Gabi
600,2015-04-01,2.0,Ethiopia,Afar,Khari
3538,2015-04-01,1.0,Ethiopia,Tigray,Northwest Tigray
3543,2015-04-01,1.0,Ethiopia,Benshangul Gumuz,Asosa
3548,2015-04-01,1.0,Ethiopia,Oromia,South West Shewa
3550,2015-04-01,1.0,Ethiopia,SNNPR,Hadiya
3552,2015-04-01,1.0,Ethiopia,SNNPR,Silltie
3553,2015-04-01,1.0,Ethiopia,Oromia,North Shewa
3504,2015-04-01,1.0,Ethiopia,Harari,Harari
3549,2015-04-01,1.0,Ethiopia,Amhara,North Gondar
3526,2015-04-01,1.0,Ethiopia,Amhara,West Gojam
3491,2015-04-01,1.0,Ethiopia,Amhara,Awi
3541,2015-04-01,1.0,Ethiopia,Benshangul Gumuz,Pawe
3547,2015-04-01,1.0,Ethiopia,Addis Ababa,Region 14
612,2015-07-01,2.0,Ethiopia,SNNPR,Segen
613,2015-07-01,2.0,Ethiopia,Oromia,Bale
3648,2015-07-01,2.0,Ethiopia,Oromia,Borena
623,2015-07-01,2.0,Ethiopia,Somali,Jarar
2179,2015-07-01,1.0,Ethiopia,Oromia,East Wellega
2181,2015-07-01,1.0,Ethiopia,SNNPR,Gedeo
2182,2015-07-01,1.0,Ethiopia,Oromia,Gujii
2185,2015-07-01,1.0,Ethiopia,Oromia,Ilubabor
632,2015-07-01,2.0,Ethiopia,Somali,Fafan
2189,2015-07-01,1.0,Ethiopia,Oromia,Kelem
635,2015-07-01,2.0,Ethiopia,Somali,Korahe
3662,2015-07-01,2.0,Ethiopia,Somali,Liben
2336,2015-07-01,3.0,Ethiopia,Amhara,North Wollo
2193,2015-07-01,1.0,Ethiopia,Gambela,Nuer
6817,2015-07-01,3.0,Ethiopia,Somali,Sitti
644,2015-07-01,2.0,Ethiopia,Tigray,South Tigray
2345,2015-07-01,3.0,Ethiopia,Oromia,West Hararge
2201,2015-07-01,1.0,Ethiopia,Oromia,West Wellega
3674,2015-07-01,2.0,Ethiopia,Afar,Awusi
3676,2015-07-01,2.0,Ethiopia,Afar,Fanti
654,2015-07-01,2.0,Ethiopia,Somali,Shebelle
2206,2015-07-01,1.0,Ethiopia,Gambela,Itang
2207,2015-07-01,1.0,Ethiopia,Benshangul Gumuz,Mao-Komo
2209,2015-07-01,1.0,Ethiopia,Gambela,Agniwak
659,2015-07-01,2.0,Ethiopia,Oromia,East Hararge
3683,2015-07-01,2.0,Ethiopia,Tigray,East Tigray
2211,2015-07-01,1.0,Ethiopia,Benshangul Gumuz,Kemashi
2212,2015-07-01,1.0,Ethiopia,Benshangul Gumuz,Metekel
3687,2015-07-01,2.0,Ethiopia,Afar,Kilbati
664,2015-07-01,2.0,Ethiopia,Somali,Nogob
666,2015-07-01,2.0,Ethiopia,Somali,Dollo
2166,2015-07-01,1.0,Ethiopia,SNNPR,Sheka
2168,2015-07-01,1.0,Ethiopia,SNNPR,Sidama
616,2015-07-01,2.0,Ethiopia,Somali,Afder
2324,2015-07-01,3.0,Ethiopia,SNNPR,Alaba
618,2015-07-01,2.0,Ethiopia,Oromia,Arsi
2172,2015-07-01,1.0,Ethiopia,SNNPR,Basketo
2173,2015-07-01,1.0,Ethiopia,SNNPR,Bench Maji
3652,2015-07-01,2.0,Ethiopia,Tigray,Central Tigray
2175,2015-07-01,1.0,Ethiopia,SNNPR,Dawro
3654,2015-07-01,2.0,Ethiopia,Dire Dawa,Dire Dawa
2177,2015-07-01,1.0,Ethiopia,Amhara,East Gojam
2178,2015-07-01,1.0,Ethiopia,Oromia,East Shewa
2329,2015-07-01,3.0,Ethiopia,SNNPR,Gamo Gofa
2183,2015-07-01,1.0,Ethiopia,SNNPR,Gurage
2184,2015-07-01,1.0,Ethiopia,Oromia,Horo Guduru
2186,2015-07-01,1.0,Ethiopia,Oromia,Jimma
634,2015-07-01,2.0,Ethiopia,SNNPR,Kembata Tembaro
2188,2015-07-01,1.0,Ethiopia,SNNPR,Keffa
2190,2015-07-01,1.0,Ethiopia,SNNPR,Konta
2191,2015-07-01,1.0,Ethiopia,Gambela,Mezhenger
2192,2015-07-01,1.0,Ethiopia,Amhara,North Shewa
639,2015-07-01,2.0,Ethiopia,Amhara,Oromia
641,2015-07-01,2.0,Ethiopia,Amhara,South Gondar
642,2015-07-01,2.0,Ethiopia,SNNPR,South Omo
643,2015-07-01,2.0,Ethiopia,Amhara,South Wollo
645,2015-07-01,2.0,Ethiopia,Amhara,Argoba
2343,2015-07-01,3.0,Ethiopia,Amhara,Wag Himra
2344,2015-07-01,3.0,Ethiopia,Oromia,West Arsi
2200,2015-07-01,1.0,Ethiopia,Oromia,West Shewa
2202,2015-07-01,1.0,Ethiopia,Tigray,West Tigray
2347,2015-07-01,3.0,Ethiopia,SNNPR,Wolayita
2204,2015-07-01,1.0,Ethiopia,SNNPR,Yem
6820,2015-07-01,3.0,Ethiopia,Afar,Gabi
3677,2015-07-01,2.0,Ethiopia,Afar,Khari
2205,2015-07-01,1.0,Ethiopia,Tigray,Northwest Tigray
2210,2015-07-01,1.0,Ethiopia,Benshangul Gumuz,Asosa
2214,2015-07-01,1.0,Ethiopia,Oromia,South West Shewa
2216,2015-07-01,1.0,Ethiopia,SNNPR,Hadiya
2363,2015-07-01,3.0,Ethiopia,SNNPR,Silltie
2218,2015-07-01,1.0,Ethiopia,Oromia,North Shewa
3658,2015-07-01,2.0,Ethiopia,Harari,Harari
2215,2015-07-01,1.0,Ethiopia,Amhara,North Gondar
2199,2015-07-01,1.0,Ethiopia,Amhara,West Gojam
2171,2015-07-01,1.0,Ethiopia,Amhara,Awi
2208,2015-07-01,1.0,Ethiopia,Benshangul Gumuz,Pawe
2213,2015-07-01,1.0,Ethiopia,Addis Ababa,Region 14
2219,2015-10-01,1.0,Ethiopia,SNNPR,Segen
669,2015-10-01,2.0,Ethiopia,Oromia,Bale
670,2015-10-01,2.0,Ethiopia,Oromia,Borena
678,2015-10-01,2.0,Ethiopia,Somali,Jarar
2231,2015-10-01,1.0,Ethiopia,Oromia,East Wellega
2233,2015-10-01,1.0,Ethiopia,SNNPR,Gedeo
2234,2015-10-01,1.0,Ethiopia,Oromia,Gujii
2237,2015-10-01,1.0,Ethiopia,Oromia,Ilubabor
685,2015-10-01,2.0,Ethiopia,Somali,Fafan
2241,2015-10-01,1.0,Ethiopia,Oromia,Kelem
688,2015-10-01,2.0,Ethiopia,Somali,Korahe
689,2015-10-01,2.0,Ethiopia,Somali,Liben
2290,2015-10-01,3.0,Ethiopia,Amhara,North Wollo
2245,2015-10-01,1.0,Ethiopia,Gambela,Nuer
6806,2015-10-01,4.0,Ethiopia,Somali,Sitti
2297,2015-10-01,3.0,Ethiopia,Tigray,South Tigray
2301,2015-10-01,3.0,Ethiopia,Oromia,West Hararge
2252,2015-10-01,1.0,Ethiopia,Oromia,West Wellega
2304,2015-10-01,3.0,Ethiopia,Afar,Awusi
2306,2015-10-01,3.0,Ethiopia,Afar,Fanti
708,2015-10-01,2.0,Ethiopia,Somali,Shebelle
2257,2015-10-01,1.0,Ethiopia,Gambela,Itang
2258,2015-10-01,1.0,Ethiopia,Benshangul Gumuz,Mao-Komo
2260,2015-10-01,1.0,Ethiopia,Gambela,Agniwak
2310,2015-10-01,3.0,Ethiopia,Oromia,East Hararge
2311,2015-10-01,3.0,Ethiopia,Tigray,East Tigray
2262,2015-10-01,1.0,Ethiopia,Benshangul Gumuz,Kemashi
2263,2015-10-01,1.0,Ethiopia,Benshangul Gumuz,Metekel
2313,2015-10-01,3.0,Ethiopia,Afar,Kilbati
719,2015-10-01,2.0,Ethiopia,Somali,Nogob
721,2015-10-01,2.0,Ethiopia,Somali,Dollo
2221,2015-10-01,1.0,Ethiopia,SNNPR,Sheka
