,date,ADMIN0,ADMIN1,ADMIN2,ML2
5806,2011-10-01,Ethiopia,SNNPR,Gedeo,2.0
113,2011-10-01,Ethiopia,Oromia,Gujii,4.0
5645,2011-10-01,Ethiopia,SNNPR,Keffa,1.0
5647,2011-10-01,Ethiopia,SNNPR,Konta,1.0
116,2011-10-01,Ethiopia,Somali,Liben,4.0
3171,2011-10-01,Ethiopia,Amhara,North Wollo,3.0
3172,2011-10-01,Ethiopia,Gambela,Nuer,3.0
5818,2011-10-01,Ethiopia,Amhara,Oromia,2.0
5820,2011-10-01,Ethiopia,Amhara,South Gondar,2.0
117,2011-10-01,Ethiopia,SNNPR,South Omo,4.0
5822,2011-10-01,Ethiopia,Amhara,South Wollo,2.0
5823,2011-10-01,Ethiopia,Tigray,South Tigray,2.0
3180,2011-10-01,Ethiopia,Amhara,Wag Himra,3.0
5655,2011-10-01,Ethiopia,Oromia,West Arsi,1.0
5827,2011-10-01,Ethiopia,Oromia,West Hararge,2.0
5830,2011-10-01,Ethiopia,Afar,Awusi,2.0
5832,2011-10-01,Ethiopia,Afar,Fanti,2.0
119,2011-10-01,Ethiopia,Somali,Shebelle,4.0
5669,2011-10-01,Ethiopia,Gambela,Agniwak,1.0
5836,2011-10-01,Ethiopia,Oromia,East Hararge,2.0
5837,2011-10-01,Ethiopia,Tigray,East Tigray,2.0
3194,2011-10-01,Ethiopia,Afar,Kilbati,3.0
125,2011-10-01,Ethiopia,Somali,Nogob,4.0
5795,2011-10-01,Ethiopia,SNNPR,Alaba,2.0
5631,2011-10-01,Ethiopia,Oromia,Arsi,1.0
5799,2011-10-01,Ethiopia,Tigray,Central Tigray,2.0
5634,2011-10-01,Ethiopia,SNNPR,Dawro,1.0
3158,2011-10-01,Ethiopia,Somali,Jarar,3.0
6641,2011-10-01,Ethiopia,Dire Dawa,Dire Dawa,99.0
5635,2011-10-01,Ethiopia,Amhara,East Gojam,1.0
5636,2011-10-01,Ethiopia,Oromia,East Shewa,1.0
5637,2011-10-01,Ethiopia,Oromia,East Wellega,1.0
5641,2011-10-01,Ethiopia,SNNPR,Gurage,1.0
6643,2011-10-01,Ethiopia,Harari,Harari,99.0
5642,2011-10-01,Ethiopia,Oromia,Horo Guduru,1.0
5810,2011-10-01,Ethiopia,Somali,Fafan,2.0
5644,2011-10-01,Ethiopia,Oromia,Jimma,1.0
3166,2011-10-01,Ethiopia,SNNPR,Kembata Tembaro,3.0
3168,2011-10-01,Ethiopia,Somali,Korahe,3.0
5649,2011-10-01,Ethiopia,Amhara,North Shewa,1.0
5819,2011-10-01,Ethiopia,Somali,Sitti,2.0
5824,2011-10-01,Ethiopia,Amhara,Argoba,2.0
5658,2011-10-01,Ethiopia,Oromia,West Shewa,1.0
5660,2011-10-01,Ethiopia,Tigray,West Tigray,1.0
3182,2011-10-01,Ethiopia,SNNPR,Wolayita,3.0
5831,2011-10-01,Ethiopia,Afar,Gabi,2.0
5833,2011-10-01,Ethiopia,Afar,Khari,2.0
5834,2011-10-01,Ethiopia,Tigray,Northwest Tigray,2.0
5674,2011-10-01,Ethiopia,Oromia,South West Shewa,1.0
5675,2011-10-01,Ethiopia,Amhara,North Gondar,1.0
3196,2011-10-01,Ethiopia,SNNPR,Hadiya,3.0
5844,2011-10-01,Ethiopia,SNNPR,Silltie,2.0
126,2011-10-01,Ethiopia,Somali,Dollo,4.0
5667,2011-10-01,Ethiopia,Benshangul Gumuz,Mao-Komo,1.0
5670,2011-10-01,Ethiopia,Benshangul Gumuz,Asosa,1.0
5671,2011-10-01,Ethiopia,Benshangul Gumuz,Kemashi,1.0
5672,2011-10-01,Ethiopia,Benshangul Gumuz,Metekel,1.0
5643,2011-10-01,Ethiopia,Oromia,Ilubabor,1.0
5666,2011-10-01,Ethiopia,Gambela,Itang,1.0
5628,2011-10-01,Ethiopia,SNNPR,Sheka,1.0
5632,2011-10-01,Ethiopia,Amhara,Awi,1.0
5646,2011-10-01,Ethiopia,Oromia,Kelem,1.0
5648,2011-10-01,Ethiopia,Gambela,Mezhenger,1.0
5656,2011-10-01,Ethiopia,Amhara,West Gojam,1.0
5659,2011-10-01,Ethiopia,Oromia,West Wellega,1.0
5662,2011-10-01,Ethiopia,SNNPR,Yem,1.0
5668,2011-10-01,Ethiopia,Benshangul Gumuz,Pawe,1.0
6650,2011-10-01,Ethiopia,Addis Ababa,Region 14,99.0
272,2018-10-01,Ethiopia,SNNPR,Segen,1.0
3118,2018-10-01,Ethiopia,Oromia,Bale,3.0
275,2018-10-01,Ethiopia,Oromia,Borena,1.0
276,2018-10-01,Ethiopia,SNNPR,Sidama,1.0
131,2018-10-01,Ethiopia,Somali,Afder,2.0
281,2018-10-01,Ethiopia,SNNPR,Basketo,1.0
282,2018-10-01,Ethiopia,SNNPR,Bench Maji,1.0
288,2018-10-01,Ethiopia,SNNPR,Gamo Gofa,1.0
3124,2018-10-01,Ethiopia,SNNPR,Gedeo,3.0
290,2018-10-01,Ethiopia,Oromia,Gujii,1.0
296,2018-10-01,Ethiopia,SNNPR,Keffa,1.0
298,2018-10-01,Ethiopia,SNNPR,Konta,1.0
148,2018-10-01,Ethiopia,Somali,Liben,2.0
301,2018-10-01,Ethiopia,Amhara,North Wollo,1.0
302,2018-10-01,Ethiopia,Gambela,Nuer,1.0
303,2018-10-01,Ethiopia,Amhara,Oromia,1.0
304,2018-10-01,Ethiopia,Amhara,South Gondar,1.0
305,2018-10-01,Ethiopia,SNNPR,South Omo,1.0
306,2018-10-01,Ethiopia,Amhara,South Wollo,1.0
307,2018-10-01,Ethiopia,Tigray,South Tigray,1.0
156,2018-10-01,Ethiopia,Amhara,Wag Himra,2.0
310,2018-10-01,Ethiopia,Oromia,West Arsi,1.0
3134,2018-10-01,Ethiopia,Oromia,West Hararge,3.0
161,2018-10-01,Ethiopia,Afar,Awusi,2.0
163,2018-10-01,Ethiopia,Afar,Fanti,2.0
165,2018-10-01,Ethiopia,Somali,Shebelle,2.0
327,2018-10-01,Ethiopia,Gambela,Agniwak,1.0
3140,2018-10-01,Ethiopia,Oromia,East Hararge,3.0
329,2018-10-01,Ethiopia,Tigray,East Tigray,1.0
3144,2018-10-01,Ethiopia,Afar,Kilbati,3.0
174,2018-10-01,Ethiopia,Somali,Nogob,2.0
132,2018-10-01,Ethiopia,SNNPR,Alaba,2.0
279,2018-10-01,Ethiopia,Oromia,Arsi,1.0
283,2018-10-01,Ethiopia,Tigray,Central Tigray,1.0
284,2018-10-01,Ethiopia,SNNPR,Dawro,1.0
3122,2018-10-01,Ethiopia,Somali,Jarar,3.0
138,2018-10-01,Ethiopia,Dire Dawa,Dire Dawa,2.0
285,2018-10-01,Ethiopia,Amhara,East Gojam,1.0
286,2018-10-01,Ethiopia,Oromia,East Shewa,1.0
287,2018-10-01,Ethiopia,Oromia,East Wellega,1.0
291,2018-10-01,Ethiopia,SNNPR,Gurage,1.0
143,2018-10-01,Ethiopia,Harari,Harari,2.0
292,2018-10-01,Ethiopia,Oromia,Horo Guduru,1.0
144,2018-10-01,Ethiopia,Somali,Fafan,2.0
294,2018-10-01,Ethiopia,Oromia,Jimma,1.0
295,2018-10-01,Ethiopia,SNNPR,Kembata Tembaro,1.0
147,2018-10-01,Ethiopia,Somali,Korahe,2.0
300,2018-10-01,Ethiopia,Amhara,North Shewa,1.0
152,2018-10-01,Ethiopia,Somali,Sitti,2.0
308,2018-10-01,Ethiopia,Amhara,Argoba,1.0
313,2018-10-01,Ethiopia,Oromia,West Shewa,1.0
315,2018-10-01,Ethiopia,Tigray,West Tigray,1.0
316,2018-10-01,Ethiopia,SNNPR,Wolayita,1.0
162,2018-10-01,Ethiopia,Afar,Gabi,2.0
164,2018-10-01,Ethiopia,Afar,Khari,2.0
323,2018-10-01,Ethiopia,Tigray,Northwest Tigray,1.0
333,2018-10-01,Ethiopia,Oromia,South West Shewa,1.0
335,2018-10-01,Ethiopia,Amhara,North Gondar,1.0
336,2018-10-01,Ethiopia,SNNPR,Hadiya,1.0
175,2018-10-01,Ethiopia,SNNPR,Silltie,2.0
3146,2018-10-01,Ethiopia,Somali,Dollo,3.0
325,2018-10-01,Ethiopia,Benshangul Gumuz,Mao-Komo,1.0
328,2018-10-01,Ethiopia,Benshangul Gumuz,Asosa,1.0
